TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow
82449.328,1799.393,City,-104.968,1.399202,-0.9,0,0,Objectives,0,0,1
82449.362,1799.357,City,-104.808,1.399202,-0.9000001,0,0,Objectives,0,0,1
82449.398,1799.324,City,-104.648,1.399202,-0.9000001,0,0,Objectives,0,0,1
82449.432,1799.288,City,-104.568,1.399202,-0.9000001,0,0,Objectives,0,0,1
82449.467,1799.253,City,-104.408,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.502,1799.219,City,-104.248,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.539,1799.183,City,-104.088,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.579,1799.147,City,-103.928,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.613,1799.107,City,-103.848,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.652,1799.072,City,-103.688,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.688,1799.034,City,-103.528,1.399202,-0.9000002,0,0,Objectives,0,0,1
82449.725,1798.998,City,-103.368,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.763,1798.961,City,-103.208,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.801,1798.923,City,-103.048,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.836,1798.885,City,-102.968,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.874,1798.849,City,-102.808,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.911,1798.812,City,-102.648,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.946,1798.775,City,-102.488,1.399202,-0.9000003,0,0,Objectives,0,0,1
82449.981,1798.74,City,-102.328,1.399202,-0.9000004,0,0,Objectives,0,0,1
82450.017,1798.704,City,-102.168,1.399202,-0.9000004,0,0,Objectives,0,0,1
82450.053,1798.668,City,-102.088,1.399202,-0.9000004,0,0,Objectives,0,0,1
82450.089,1798.632,City,-101.928,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.124,1798.597,City,-101.768,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.159,1798.562,City,-101.608,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.195,1798.527,City,-101.528,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.231,1798.491,City,-101.368,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.266,1798.455,City,-101.208,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.302,1798.42,City,-101.048,1.399202,-0.9000005,0,0,Objectives,0,0,1
82450.339,1798.384,City,-100.888,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.373,1798.348,City,-100.808,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.410,1798.312,City,-100.648,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.445,1798.275,City,-100.488,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.481,1798.241,City,-100.328,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.517,1798.205,City,-100.168,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.552,1798.168,City,-100.088,1.399202,-0.9000006,0,0,Objectives,0,0,1
82450.588,1798.133,City,-99.92801,1.399202,-0.9000007,0,0,Objectives,0,0,1
82450.625,1798.098,City,-99.76801,1.399202,-0.9000007,0,0,Objectives,0,0,1
82450.661,1798.06,City,-99.60801,1.399202,-0.9000007,0,0,Objectives,0,0,1
82450.695,1798.025,City,-99.52801,1.399202,-0.9000007,0,0,Objectives,0,0,1
82450.733,1797.99,City,-99.36801,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.769,1797.953,City,-99.20801,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.804,1797.917,City,-99.04801,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.845,1797.881,City,-98.88801,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.881,1797.841,City,-98.728,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.916,1797.805,City,-98.64801,1.399202,-0.9000008,0,0,Objectives,0,0,1
82450.952,1797.769,City,-98.48801,1.399202,-0.9000008,0,0,Objectives,0,0,1
